ID;sex;age;race;marital-status;education;native-country;workclass;occupation;salary-class
0;Male;*;*;*;Higher education;*;*;*;<=50K
1;Male;*;*;*;Higher education;*;*;*;<=50K
2;Male;*;*;*;Secondary education;*;*;*;<=50K
3;Male;*;*;*;Secondary education;*;*;*;<=50K
4;Female;*;*;*;Higher education;*;*;*;<=50K
5;Female;*;*;*;Higher education;*;*;*;<=50K
6;Female;*;*;*;Secondary education;*;*;*;<=50K
7;Male;*;*;*;Secondary education;*;*;*;>50K
8;Female;*;*;*;Higher education;*;*;*;>50K
9;Male;*;*;*;Higher education;*;*;*;>50K
10;Male;*;*;*;Higher education;*;*;*;>50K
11;Male;*;*;*;Higher education;*;*;*;>50K
12;Female;*;*;*;Higher education;*;*;*;<=50K
13;Male;*;*;*;Higher education;*;*;*;<=50K
14;Male;*;*;*;Secondary education;*;*;*;<=50K
15;Male;*;*;*;Secondary education;*;*;*;<=50K
16;Male;*;*;*;Secondary education;*;*;*;<=50K
17;Male;*;*;*;Secondary education;*;*;*;<=50K
18;Female;*;*;*;Higher education;*;*;*;>50K
19;Male;*;*;*;Higher education;*;*;*;>50K
20;Female;*;*;*;Secondary education;*;*;*;<=50K
21;Male;*;*;*;Secondary education;*;*;*;<=50K
22;Male;*;*;*;Secondary education;*;*;*;<=50K
23;Female;*;*;*;Secondary education;*;*;*;<=50K
24;Male;*;*;*;Higher education;*;*;*;>50K
25;Male;*;*;*;Secondary education;*;*;*;<=50K
26;Male;*;*;*;Secondary education;*;*;*;<=50K
27;Male;*;*;*;Secondary education;*;*;*;<=50K
28;Male;*;*;*;Higher education;*;*;*;<=50K
29;Male;*;*;*;Higher education;*;*;*;<=50K
30;Male;*;*;*;Higher education;*;*;*;<=50K
31;Male;*;*;*;Higher education;*;*;*;<=50K
32;Male;*;*;*;Higher education;*;*;*;<=50K
33;Male;*;*;*;Secondary education;*;*;*;<=50K
34;Male;*;*;*;Higher education;*;*;*;<=50K
35;Female;*;*;*;Secondary education;*;*;*;<=50K
36;Male;*;*;*;Higher education;*;*;*;<=50K
37;Male;*;*;*;Secondary education;*;*;*;<=50K
38;Male;*;*;*;Higher education;*;*;*;<=50K
39;Male;*;*;*;Higher education;*;*;*;<=50K
40;Female;*;*;*;Secondary education;*;*;*;<=50K
41;Male;*;*;*;Secondary education;*;*;*;<=50K
42;Male;*;*;*;Higher education;*;*;*;>50K
43;Male;*;*;*;Secondary education;*;*;*;<=50K
44;Female;*;*;*;Higher education;*;*;*;<=50K
45;Male;*;*;*;Higher education;*;*;*;<=50K
46;Male;*;*;*;Higher education;*;*;*;<=50K
47;Female;*;*;*;Higher education;*;*;*;<=50K
48;Female;*;*;*;Higher education;*;*;*;>50K
49;Male;*;*;*;Higher education;*;*;*;>50K
50;Male;*;*;*;Secondary education;*;*;*;<=50K
51;Male;*;*;*;Higher education;*;*;*;>50K
52;Male;*;*;*;Primary education;*;*;*;<=50K
53;Male;*;*;*;Higher education;*;*;*;<=50K
54;Male;*;*;*;Secondary education;*;*;*;<=50K
55;Male;*;*;*;Secondary education;*;*;*;<=50K
56;Male;*;*;*;Higher education;*;*;*;<=50K
57;Male;*;*;*;Secondary education;*;*;*;<=50K
58;Male;*;*;*;Higher education;*;*;*;>50K
59;Male;*;*;*;Higher education;*;*;*;<=50K
60;Male;*;*;*;Secondary education;*;*;*;<=50K
61;Female;*;*;*;Higher education;*;*;*;<=50K
62;Female;*;*;*;Secondary education;*;*;*;>50K
63;Male;*;*;*;Higher education;*;*;*;>50K
64;Male;*;*;*;Higher education;*;*;*;<=50K
65;Female;*;*;*;Higher education;*;*;*;<=50K
66;Male;*;*;*;Higher education;*;*;*;>50K
67;Male;*;*;*;Higher education;*;*;*;<=50K
68;Male;*;*;*;Higher education;*;*;*;<=50K
69;Male;*;*;*;Secondary education;*;*;*;<=50K
70;Male;*;*;*;Higher education;*;*;*;<=50K
71;Female;*;*;*;Secondary education;*;*;*;<=50K
72;Male;*;*;*;Secondary education;*;*;*;<=50K
73;Male;*;*;*;Secondary education;*;*;*;<=50K
74;Male;*;*;*;Higher education;*;*;*;<=50K
75;Female;*;*;*;Secondary education;*;*;*;<=50K
76;Male;*;*;*;Secondary education;*;*;*;<=50K
77;Female;*;*;*;Secondary education;*;*;*;>50K
78;Female;*;*;*;Secondary education;*;*;*;<=50K
79;Male;*;*;*;Secondary education;*;*;*;>50K
80;Male;*;*;*;Higher education;*;*;*;<=50K
81;Male;*;*;*;Secondary education;*;*;*;<=50K
82;Female;*;*;*;Higher education;*;*;*;>50K
83;Male;*;*;*;Higher education;*;*;*;<=50K
84;Female;*;*;*;Higher education;*;*;*;<=50K
85;Female;*;*;*;Higher education;*;*;*;<=50K
86;Male;*;*;*;Higher education;*;*;*;>50K
87;Male;*;*;*;Higher education;*;*;*;<=50K
88;Male;*;*;*;Higher education;*;*;*;>50K
89;Male;*;*;*;Higher education;*;*;*;>50K
90;Female;*;*;*;Higher education;*;*;*;<=50K
91;Male;*;*;*;Secondary education;*;*;*;<=50K
92;Male;*;*;*;Higher education;*;*;*;>50K
93;Male;*;*;*;Higher education;*;*;*;>50K
94;Female;*;*;*;Higher education;*;*;*;<=50K
95;Female;*;*;*;Higher education;*;*;*;<=50K
96;Male;*;*;*;Secondary education;*;*;*;<=50K
97;Male;*;*;*;Secondary education;*;*;*;>50K
98;Male;*;*;*;Secondary education;*;*;*;<=50K
99;Female;*;*;*;Secondary education;*;*;*;<=50K
100;Male;*;*;*;Secondary education;*;*;*;<=50K
101;Male;*;*;*;Higher education;*;*;*;<=50K
102;Male;*;*;*;Higher education;*;*;*;>50K
103;Male;*;*;*;Secondary education;*;*;*;>50K
104;Female;*;*;*;Higher education;*;*;*;<=50K
105;Female;*;*;*;Secondary education;*;*;*;<=50K
106;Male;*;*;*;Secondary education;*;*;*;<=50K
107;Male;*;*;*;Higher education;*;*;*;<=50K
108;Male;*;*;*;Higher education;*;*;*;>50K
109;Male;*;*;*;Higher education;*;*;*;<=50K
110;Male;*;*;*;Secondary education;*;*;*;<=50K
111;Female;*;*;*;Higher education;*;*;*;<=50K
112;Male;*;*;*;Higher education;*;*;*;<=50K
113;Male;*;*;*;Higher education;*;*;*;<=50K
114;Male;*;*;*;Higher education;*;*;*;>50K
115;Male;*;*;*;Higher education;*;*;*;<=50K
116;Female;*;*;*;Higher education;*;*;*;>50K
117;Female;*;*;*;Higher education;*;*;*;<=50K
118;Male;*;*;*;Higher education;*;*;*;>50K
119;Male;*;*;*;Higher education;*;*;*;<=50K
120;Female;*;*;*;Higher education;*;*;*;<=50K
121;Female;*;*;*;Secondary education;*;*;*;<=50K
122;Male;*;*;*;Secondary education;*;*;*;<=50K
123;Male;*;*;*;Higher education;*;*;*;<=50K
124;Female;*;*;*;Higher education;*;*;*;<=50K
125;Male;*;*;*;Higher education;*;*;*;>50K
126;Male;*;*;*;Secondary education;*;*;*;<=50K
127;Female;*;*;*;Higher education;*;*;*;<=50K
128;Male;*;*;*;Higher education;*;*;*;<=50K
129;Male;*;*;*;Higher education;*;*;*;>50K
130;Male;*;*;*;Secondary education;*;*;*;<=50K
131;Female;*;*;*;Higher education;*;*;*;<=50K
132;Male;*;*;*;Higher education;*;*;*;<=50K
133;Female;*;*;*;Higher education;*;*;*;>50K
134;Male;*;*;*;Higher education;*;*;*;<=50K
135;Female;*;*;*;Secondary education;*;*;*;<=50K
136;Male;*;*;*;Higher education;*;*;*;<=50K
137;Female;*;*;*;Secondary education;*;*;*;<=50K
138;Male;*;*;*;Secondary education;*;*;*;<=50K
139;Female;*;*;*;Higher education;*;*;*;<=50K
140;Female;*;*;*;Secondary education;*;*;*;<=50K
141;Female;*;*;*;Higher education;*;*;*;<=50K
142;Male;*;*;*;Secondary education;*;*;*;<=50K
143;Male;*;*;*;Secondary education;*;*;*;<=50K
144;Male;*;*;*;Higher education;*;*;*;<=50K
145;Male;*;*;*;Higher education;*;*;*;<=50K
146;Male;*;*;*;Secondary education;*;*;*;<=50K
147;Male;*;*;*;Higher education;*;*;*;<=50K
148;Female;*;*;*;Secondary education;*;*;*;<=50K
149;Female;*;*;*;Higher education;*;*;*;<=50K
150;Female;*;*;*;Secondary education;*;*;*;<=50K
151;Male;*;*;*;Higher education;*;*;*;>50K
152;Female;*;*;*;Higher education;*;*;*;<=50K
153;Male;*;*;*;Higher education;*;*;*;<=50K
154;Male;*;*;*;Higher education;*;*;*;<=50K
155;Male;*;*;*;Secondary education;*;*;*;<=50K
156;Female;*;*;*;Higher education;*;*;*;<=50K
157;Male;*;*;*;Secondary education;*;*;*;<=50K
158;Male;*;*;*;Secondary education;*;*;*;<=50K
159;Male;*;*;*;Higher education;*;*;*;>50K
160;Male;*;*;*;Higher education;*;*;*;<=50K
161;Male;*;*;*;Higher education;*;*;*;>50K
162;Female;*;*;*;Secondary education;*;*;*;<=50K
163;Male;*;*;*;Secondary education;*;*;*;<=50K
164;Male;*;*;*;Secondary education;*;*;*;<=50K
165;Male;*;*;*;Secondary education;*;*;*;<=50K
166;Male;*;*;*;Higher education;*;*;*;<=50K
167;Male;*;*;*;Higher education;*;*;*;>50K
168;Female;*;*;*;Higher education;*;*;*;<=50K
169;Male;*;*;*;Higher education;*;*;*;<=50K
170;Male;*;*;*;Secondary education;*;*;*;>50K
171;Male;*;*;*;Higher education;*;*;*;>50K
172;Male;*;*;*;Secondary education;*;*;*;<=50K
173;Female;*;*;*;Higher education;*;*;*;<=50K
