ID;sex;age;race;marital-status;education;native-country;workclass;occupation;salary-class
0;Male;*;White;spouse not present;Higher education;*;State-gov;*;<=50K
1;Male;*;White;Married-civ-spouse;Undergraduate;*;Self-emp-not-inc;Nontechnical;<=50K
2;Male;*;White;spouse not present;High School;*;*;Handlers-cleaners;<=50K
3;Male;*;Black;Married-civ-spouse;*;*;Non-Government;Nontechnical;<=50K
4;Female;*;*;spouse present;*;*;*;Technical;<=50K
5;Female;*;*;spouse present;*;*;*;Nontechnical;<=50K
6;Female;*;*;spouse not present;High School;*;*;Other;<=50K
7;Male;*;White;Married-civ-spouse;High School;*;*;Exec-managerial;>50K
8;Female;*;*;spouse not present;Graduate;*;Non-Government;Technical;>50K
9;Male;*;White;Married-civ-spouse;Bachelors;*;Private;Nontechnical;>50K
10;Male;*;Black;Married-civ-spouse;*;*;Non-Government;Nontechnical;>50K
11;Male;*;Asian-Pac-Islander;Married-civ-spouse;*;*;*;*;>50K
12;Female;*;*;spouse not present;Higher education;*;*;Other;<=50K
13;Male;*;Black;spouse not present;*;*;*;Nontechnical;<=50K
14;Male;*;Amer-Indian-Eskimo;*;*;*;*;*;<=50K
15;Male;*;White;spouse not present;High School;*;*;Other;<=50K
16;Male;*;White;spouse not present;High School;*;*;Technical;<=50K
17;Male;*;White;spouse present;High School;*;*;Sales;<=50K
18;Female;*;*;spouse not present;Higher education;*;Non-Government;Nontechnical;>50K
19;Male;*;White;Married-civ-spouse;Doctorate;*;Non-Government;Technical;>50K
20;Female;*;*;spouse not present;High School;*;*;Other;<=50K
21;Male;*;Black;Married-civ-spouse;*;*;Government;*;<=50K
22;Male;*;White;spouse present;High School;*;*;Other;<=50K
23;Female;*;*;spouse not present;High School;*;*;Technical;<=50K
24;Male;*;White;Married-civ-spouse;Higher education;*;Local-gov;Technical;>50K
25;Male;*;White;spouse not present;High School;*;*;Technical;<=50K
26;Male;*;White;spouse not present;High School;*;*;Exec-managerial;<=50K
27;Male;*;White;spouse present;High School;*;Non-Government;Technical;<=50K
28;Male;*;White;spouse not present;Higher education;*;Local-gov;*;<=50K
29;Male;*;Black;spouse not present;*;*;*;Nontechnical;<=50K
30;Male;*;White;spouse not present;Higher education;*;Non-Government;Exec-managerial;<=50K
31;Male;*;White;spouse present;Higher education;*;*;Other;<=50K
32;Male;*;Black;Married-civ-spouse;*;*;Government;*;<=50K
33;Male;*;White;spouse not present;High School;*;*;Technical;<=50K
34;Male;*;White;spouse not present;Some-college;*;Non-Government;Technical;<=50K
35;Female;*;*;spouse present;*;*;*;Other;<=50K
36;Male;*;White;Married-civ-spouse;Assoc-acdm;*;Non-Government;Technical;<=50K
37;Male;*;White;spouse present;High School;*;Non-Government;Technical;<=50K
38;Male;*;White;spouse present;Bachelors;*;Non-Government;Prof-specialty;<=50K
39;Male;*;White;Married-civ-spouse;Undergraduate;*;Non-Government;Tech-support;<=50K
40;Female;*;*;spouse not present;High School;*;*;Other;<=50K
41;Male;*;White;spouse not present;High School;*;*;Handlers-cleaners;<=50K
42;Male;*;Black;Married-civ-spouse;*;*;Government;*;>50K
43;Male;*;White;spouse present;High School;*;Non-Government;Technical;<=50K
44;Female;*;*;spouse not present;Higher education;*;Non-Government;Nontechnical;<=50K
45;Male;*;White;Married-civ-spouse;Higher education;*;State-gov;Technical;<=50K
46;Male;*;White;spouse not present;Professional Education;*;Non-Government;Technical;<=50K
47;Female;*;*;spouse present;*;*;*;Nontechnical;<=50K
48;Female;*;*;spouse present;*;*;*;Technical;>50K
49;Male;*;White;spouse not present;Higher education;*;Federal-gov;*;>50K
50;Male;*;White;spouse not present;High School;*;*;Exec-managerial;<=50K
51;Male;*;White;Married-civ-spouse;Undergraduate;*;Non-Government;Tech-support;>50K
52;Male;*;White;Married-civ-spouse;Primary School;*;*;*;<=50K
53;Male;*;White;spouse present;Higher education;*;*;Other;<=50K
54;Male;*;White;spouse present;High School;*;*;Other;<=50K
55;Male;*;White;spouse present;High School;*;Non-Government;Technical;<=50K
56;Male;*;White;Married-civ-spouse;Bachelors;*;Private;Nontechnical;<=50K
57;Male;*;White;spouse present;High School;*;*;Other;<=50K
58;Male;*;White;Married-civ-spouse;Doctorate;*;Non-Government;Technical;>50K
59;Male;*;White;spouse not present;Some-college;*;Non-Government;Technical;<=50K
60;Male;*;White;spouse present;High School;*;Non-Government;Technical;<=50K
61;Female;*;*;spouse not present;Higher education;*;*;Other;<=50K
62;Female;*;*;spouse present;*;*;*;Other;>50K
