ID;sex;age;race;marital-status;education;native-country;workclass;occupation;salary-class
0;*;*;*;*;*;*;*;*;<=50K
1;Male;40~59;*;*;Higher education;*;*;*;<=50K
2;*;*;White;*;*;North America;Non-Government;*;<=50K
3;*;*;*;*;*;North America;*;*;<=50K
4;*;*;*;Married-civ-spouse;Higher education;*;*;*;<=50K
5;*;20~39;*;*;*;*;Non-Government;*;<=50K
6;Female;*;*;spouse not present;*;*;*;*;<=50K
7;Male;*;White;Married-civ-spouse;High School;North America;Non-Government;*;>50K
8;Female;*;White;spouse not present;*;North America;Non-Government;Technical;>50K
9;Male;40~49;White;*;Higher education;*;Private;Nontechnical;>50K
10;*;20~39;*;*;Undergraduate;*;*;Nontechnical;>50K
11;*;*;*;*;*;*;*;*;>50K
12;Female;20~39;*;Never-married;Undergraduate;*;Non-Government;Adm-clerical;<=50K
13;*;*;*;*;Higher education;*;Non-Government;*;<=50K
14;Male;*;*;Married-civ-spouse;High School;North America;Private;Transport-moving;<=50K
15;Male;*;White;spouse not present;*;North America;Non-Government;*;<=50K
16;Male;*;White;spouse not present;*;North America;Non-Government;*;<=50K
17;Male;*;White;Married-civ-spouse;High School;North America;*;Nontechnical;<=50K
18;*;*;*;*;Higher education;United-States;*;*;>50K
19;Male;20~39;White;Married-civ-spouse;Higher education;United-States;*;Technical;>50K
20;*;*;*;*;High School;North America;*;*;<=50K
21;Male;*;*;Married-civ-spouse;*;*;*;*;<=50K
22;Male;*;*;Married-civ-spouse;*;United-States;Private;*;<=50K
23;*;*;*;*;*;North America;Private;*;<=50K
24;*;*;*;*;Higher education;United-States;Government;*;>50K
25;Male;*;White;*;High School;United-States;*;*;<=50K
26;*;*;White;*;*;North America;Non-Government;*;<=50K
27;*;*;White;*;*;North America;*;*;<=50K
28;*;*;*;spouse not present;*;North America;*;*;<=50K
29;*;*;Black;*;*;North America;*;*;<=50K
30;*;*;*;spouse not present;*;North America;Private;*;<=50K
31;Male;*;*;*;*;North America;Government;*;<=50K
32;Male;*;*;*;*;*;*;*;<=50K
33;Male;*;*;*;*;*;Non-Government;*;<=50K
34;Male;20~39;White;Never-married;Higher education;*;Private;*;<=50K
35;Female;*;*;spouse present;High School;*;*;*;<=50K
36;Male;*;*;Married-civ-spouse;*;*;*;*;<=50K
