ID;longitude;latitude;housing_median_age;mean_rooms;mean_bedrooms;population;households;median_income;median_house_value;ocean_proximity
0;-122~-121;37~38;30~52;6.984126984;1.023809524;322;126;6~15;267700~500001;0
1;-122~-121;37~39;2~29;6.238137083;0.971880492;2401;1138;6~15;198000~500001;0
2;-122~-121;37~38;30~52;8.288135593;1.073446328;496;177;6~15;267700~500001;0
3;-122~-121;37~38;30~52;5.817351598;1.073059361;558;219;4~6;257300~500001;0
4;-122~-120;37~38;30~52;6.281853282;1.081081081;565;259;3~4;257100~500001;0
5;-122~-120;37~38;30~52;4.761658031;1.103626943;413;193;3~4;257100~500001;0
6;-122~-120;37~38;30~52;4.931906615;0.951361868;1094;514;3~4;257100~500001;0
7;-124~-122;37~41;30~52;4.797527048;1.061823802;1157;647;3~3;50800~254700;0
8;-122~-120;37~39;30~52;4.294117647;1.117647059;1206;595;0~3;219100~500001;0
9;-122~-120;37~38;30~52;4.970588235;0.990196078;1551;714;3~4;257100~500001;0
10;-122~-120;37~38;30~52;5.47761194;1.07960199;910;402;3~4;257100~500001;0
11;-124~-122;37~41;30~52;4.772479564;1.024523161;1504;734;3~3;50800~254700;0
12;-124~-120;37~40;30~52;5.322649573;1.012820513;1098;468;0~3;152500~219000;0
13;-124~-120;37~40;30~52;4;1.097701149;345;174;0~3;152500~219000;0
14;-124~-120;37~40;30~52;4.262903226;1.009677419;1212;620;0~3;152500~219000;0
15;-124~-122;37~41;30~52;4.242424242;1.071969697;697;264;0~3;104500~152300;0
16;-124~-120;37~40;30~52;5.939577039;1.048338369;793;331;0~3;152500~219000;0
17;-124~-120;37~40;30~52;4.052805281;0.9669967;648;303;0~3;152500~219000;0
18;-124~-120;37~40;30~52;5.343675418;1.085918854;990;419;0~3;152500~219000;0
19;-124~-120;37~40;30~52;5.465454545;1.083636364;690;275;0~3;152500~219000;0
20;-124~-122;37~41;30~52;4.524096386;1.108433735;409;166;0~3;104500~152300;0
21;-124~-120;37~40;30~52;4.478142077;1.00273224;929;366;0~3;152500~219000;0
22;-124~-122;37~41;30~52;5.09623431;1.131799163;1015;478;0~3;104500~152300;0
23;-122~-121;37~38;30~52;5.193846154;1.036923077;853;325;0~3;22500~104200;0
24;-124~-122;37~41;30~52;5.27014218;1.035545024;1006;422;0~3;104500~152300;0
25;-124~-122;37~41;30~52;4.495798319;1.033613445;317;119;0~3;104500~152300;0
26;-122~-121;37~38;30~52;4.728033473;1.020920502;607;239;0~3;22500~104200;0
27;-124~-122;37~41;30~52;4.780856423;1.060453401;1102;397;0~3;104500~152300;0
28;-124~-122;37~41;30~52;4.401691332;1.040169133;1131;473;0~3;104500~152300;0
29;-124~-122;37~41;30~52;4.703225806;1.032258065;395;155;0~3;104500~152300;0
30;-124~-122;37~41;30~52;5.068783069;1.182539683;863;378;0~3;104500~152300;0
31;-124~-122;37~41;30~52;4.882086168;1.090702948;1168;441;0~3;104500~152300;0
32;-124~-122;37~41;30~52;5.737313433;1.220895522;1026;335;0~3;104500~152300;0
33;-124~-122;37~41;30~52;5.030395137;1.112462006;754;329;0~3;104500~152300;0
34;-124~-122;37~41;30~52;4.972014925;1.070895522;1258;536;0~3;104500~152300;0
35;-122~-121;37~38;30~52;4.602272727;1.068181818;570;264;0~3;22500~104200;0
36;-124~-122;37~41;30~52;4.807486631;1.155080214;987;374;0~3;104500~152300;0
37;-122~-121;37~38;30~52;3.749379653;0.967741935;901;403;0~3;22500~104200;0
38;-124~-122;37~41;30~52;4.757281553;1.067961165;689;309;3~3;50800~254700;0
39;-124~-120;37~40;30~52;3.494252874;1.027298851;1377;696;0~3;152500~219000;0
40;-124~-120;37~40;30~52;4.215189873;1.060759494;946;395;0~3;152500~219000;0
41;-124~-122;37~41;30~52;3.759036145;1.248995984;517;249;0~3;104500~152300;0
42;-124~-122;37~41;30~52;3.772486772;1.068783069;462;189;0~3;104500~152300;0
43;-124~-122;37~40;30~52;4.797979798;1.02020202;467;198;3~10;68300~256600;0
44;-124~-120;37~40;30~52;4.941780822;1.065068493;660;292;0~3;152500~219000;0
45;-124~-120;37~40;30~52;4.335078534;1.09947644;718;382;0~3;152500~219000;0
46;-124~-122;37~41;30~52;3.700657895;1.059210526;616;304;0~3;104500~152300;0
47;-124~-122;37~41;30~52;3.980237154;1.233201581;558;253;0~3;104500~152300;0
48;-124~-120;37~40;30~52;3.9;1.21875;423;160;0~3;152500~219000;0
49;-124~-122;37~41;30~52;2.6875;1.065340909;700;352;0~3;104500~152300;0
50;-123~-119;37~39;2~29;2.0456621;1.034246575;735;438;0~3;162900~500001;0
51;-122~-121;37~38;30~52;4.58968059;1.12039312;1061;407;0~3;22500~104200;0
52;-122~-121;37~38;30~52;4.473611111;1.184722222;1959;720;0~3;22500~104200;0
