ID;longitude;latitude;housing_median_age;mean_rooms;mean_bedrooms;population;households;median_income;median_house_value;ocean_proximity
0;*;37;33~48;6.984126984;1.023809524;322;126;*;441000~501999;0
1;*;37;17~24;6.238137083;0.971880492;2401;1138;*;319000~379999;0
2;*;37;49~56;8.288135593;1.073446328;496;177;*;319000~379999;0
3;*;37;49~56;5.817351598;1.073059361;558;219;*;319000~379999;0
4;*;37;49~56;6.281853282;1.081081081;565;259;*;319000~379999;0
5;*;37;49~56;4.761658031;1.103626943;413;193;*;258000~318999;0
6;*;37;49~56;4.931906615;0.951361868;1094;514;*;258000~318999;0
7;*;37;49~56;4.797527048;1.061823802;1157;647;*;197000~257999;0
8;*;37;41~48;4.294117647;1.117647059;1206;595;*;197000~257999;0
9;*;37;49~56;4.970588235;0.990196078;1551;714;*;258000~318999;0
10;*;37;49~56;5.47761194;1.07960199;910;402;*;258000~318999;0
11;*;37;49~56;4.772479564;1.024523161;1504;734;*;197000~257999;0
12;*;37;49~56;5.322649573;1.012820513;1098;468;*;197000~257999;0
13;*;37;49~56;4;1.097701149;345;174;*;136000~196999;0
14;*;37;49~56;4.262903226;1.009677419;1212;620;*;136000~196999;0
15;*;37;49~56;4.242424242;1.071969697;697;264;*;136000~196999;0
16;*;37;49~56;5.939577039;1.048338369;793;331;*;136000~196999;0
17;*;37;49~56;4.052805281;0.9669967;648;303;*;136000~196999;0
18;*;37;49~56;5.343675418;1.085918854;990;419;*;136000~196999;0
19;*;37;49~56;5.465454545;1.083636364;690;275;*;136000~196999;0
20;*;37;33~40;4.524096386;1.108433735;409;166;*;136000~196999;0
21;*;37;41~48;4.478142077;1.00273224;929;366;*;136000~196999;0
22;*;37;49~56;5.09623431;1.131799163;1015;478;*;14000~135999;0
23;*;37;49~56;5.193846154;1.036923077;853;325;*;14000~135999;0
24;*;37;49~56;5.27014218;1.035545024;1006;422;*;14000~135999;0
25;*;37;41~48;4.495798319;1.033613445;317;119;*;14000~135999;0
26;*;37;49~56;4.728033473;1.020920502;607;239;*;14000~135999;0
27;*;37;49~56;4.780856423;1.060453401;1102;397;*;14000~135999;0
28;*;37;49~56;4.401691332;1.040169133;1131;473;*;14000~135999;0
29;*;37;49~56;4.703225806;1.032258065;395;155;*;14000~135999;0
30;*;37;49~56;5.068783069;1.182539683;863;378;*;14000~135999;0
31;*;37;49~56;4.882086168;1.090702948;1168;441;*;14000~135999;0
32;*;37;41~48;5.737313433;1.220895522;1026;335;*;14000~135999;0
33;*;37;49~56;5.030395137;1.112462006;754;329;*;14000~135999;0
34;*;37;49~56;4.972014925;1.070895522;1258;536;*;14000~135999;0
35;*;37;49~56;4.602272727;1.068181818;570;264;*;14000~135999;0
36;*;37;41~48;4.807486631;1.155080214;987;374;*;14000~135999;0
37;*;37;49~56;3.749379653;0.967741935;901;403;*;14000~135999;0
38;*;37;49~56;4.757281553;1.067961165;689;309;*;136000~196999;0
39;*;37;49~56;3.494252874;1.027298851;1377;696;*;136000~196999;0
40;*;37;49~56;4.215189873;1.060759494;946;395;*;136000~196999;0
41;*;37;49~56;3.759036145;1.248995984;517;249;*;136000~196999;0
42;*;37;49~56;3.772486772;1.068783069;462;189;*;14000~135999;0
43;*;37;49~56;4.797979798;1.02020202;467;198;*;136000~196999;0
44;*;37;49~56;4.941780822;1.065068493;660;292;*;136000~196999;0
45;*;37;49~56;4.335078534;1.09947644;718;382;*;136000~196999;0
46;*;37;49~56;3.700657895;1.059210526;616;304;*;136000~196999;0
47;*;37;41~48;3.980237154;1.233201581;558;253;*;136000~196999;0
48;*;37;33~40;3.9;1.21875;423;160;*;136000~196999;0
49;*;37;33~40;2.6875;1.065340909;700;352;*;14000~135999;0
50;*;37;17~24;2.0456621;1.034246575;735;438;0.0000~3.5347;136000~196999;0
51;*;37;41~48;4.58968059;1.12039312;1061;407;*;14000~135999;0
52;*;37;41~48;4.473611111;1.184722222;1959;720;*;14000~135999;0
53;*;37;49~56;4075;1.14;1162;400;*;14000~135999;0
54;*;37;49~56;5.021459227;1.008583691;701;233;*;14000~135999;0
55;*;37;49~56;4.295454545;1.104545455;576;220;*;14000~135999;0
56;*;37;49~56;4.77992278;1.111969112;622;259;*;14000~135999;0
57;*;37;49~56;6.102459016;1.37295082;728;244;*;14000~135999;0
58;*;37;49~56;4.5625;1.121710526;1074;304;*;14000~135999;0
59;*;37;1~16;2.771929825;0.754385965;94;57;*;14000~135999;0
60;*;37;49~56;5.994652406;1.128342246;554;187;*;14000~135999;0
61;*;37;49~56;5.869565217;1.260869565;86;23;*;14000~135999;0
62;*;37;49~56;6.229508197;1.557377049;377;122;*;14000~135999;0
63;*;37;49~56;7.698113208;1.490566038;521;159;*;14000~135999;0
64;*;37;41~48;6.22556391;1.368421053;392;133;*;14000~135999;0
65;*;37;49~56;5.401069519;1.117647059;604;187;*;14000~135999;0
66;*;37;41~48;4.38253012;1.06626506;788;332;*;14000~135999;0
67;*;37;49~56;6.986394558;1.659863946;492;147;*;14000~135999;0
68;*;37;49~56;6.975609756;1.329268293;274;82;*;14000~135999;0
69;*;37;41~48;4.584288052;1.05400982;1823;611;*;14000~135999;0
70;*;37;25~32;6.047244094;1.196850394;392;127;*;14000~135999;0
71;*;37;41~48;3.375451264;1.072202166;582;277;*;14000~135999;0
72;*;37;49~56;5.552631579;1.342105263;560;152;*;14000~135999;0
73;*;37;41~48;1.714285714;0.571428571;18;7;*;14000~135999;0
74;*;37;17~24;6.278195489;1.210526316;290;133;0.0000~3.5347;136000~196999;0
75;*;37;17~24;2.817767654;1.0523918;762;439;0.0000~3.5347;136000~196999;0
76;*;37;33~40;5.724950884;1.104125737;1236;509;*;14000~135999;0
77;*;37;17~24;5.830917874;1.173913043;721;207;*;14000~135999;0
78;*;37;17~24;5.369230769;1.150769231;1054;325;*;14000~135999;0
79;*;37;33~40;4.412903226;1.135483871;344;155;*;14000~135999;0
80;*;37;17~24;3.197231834;1;609;289;0.0000~3.5347;136000~196999;0
81;*;37;49~56;3.75;1;183;56;*;14000~135999;0
82;*;37;49~56;3.908045977;1.114942529;200;87;*;14000~135999;0
83;*;37;49~56;2.490322581;1.058064516;346;155;*;136000~196999;0
84;*;37;33~40;5.609467456;1.088757396;467;169;*;14000~135999;0
85;*;37;49~56;6.72173913;1.243478261;377;115;*;14000~135999;0
86;*;37;33~40;2.315789474;1.186842105;582;380;*;14000~135999;0
87;*;37;1~16;2.651515152;1.054545455;546;330;*;136000~196999;0
88;*;37;1~16;2.692307692;1.076923077;125;39;*;136000~196999;0
89;*;37;49~56;2.929411765;0.917647059;396;85;*;380000~501999;0
90;*;37;1~16;2.745856354;1.082872928;800;362;*;136000~196999;0
91;*;37;49~56;2.443181818;0.988636364;904;88;*;136000~196999;0
92;*;37;49~56;2.823529412;0.911764706;191;34;*;136000~196999;0
