ID;longitude;latitude;housing_median_age;mean_rooms;mean_bedrooms;population;households;median_income;median_house_value;ocean_proximity
0;*;*;*;6.984126984;1.023809524;322;126;*;*;0
1;*;*;*;6.238137083;0.971880492;2401;1138;*;*;0
2;*;*;*;8.288135593;1.073446328;496;177;*;*;0
3;*;*;*;5.817351598;1.073059361;558;219;*;*;0
4;*;*;*;6.281853282;1.081081081;565;259;*;*;0
5;*;*;*;4.761658031;1.103626943;413;193;*;*;0
6;*;*;*;4.931906615;0.951361868;1094;514;*;*;0
7;*;*;*;4.797527048;1.061823802;1157;647;*;*;0
8;*;*;*;4.294117647;1.117647059;1206;595;*;*;0
9;*;*;*;4.970588235;0.990196078;1551;714;*;*;0
10;*;*;*;5.47761194;1.07960199;910;402;*;*;0
11;*;*;*;4.772479564;1.024523161;1504;734;*;*;0
12;*;*;*;5.322649573;1.012820513;1098;468;*;*;0
13;*;*;*;4;1.097701149;345;174;*;*;0
14;*;*;*;4.262903226;1.009677419;1212;620;*;*;0
15;*;*;*;4.242424242;1.071969697;697;264;*;*;0
16;*;*;*;5.939577039;1.048338369;793;331;*;*;0
17;*;*;*;4.052805281;0.9669967;648;303;*;*;0
18;*;*;*;5.343675418;1.085918854;990;419;*;*;0
19;*;*;*;5.465454545;1.083636364;690;275;*;*;0
20;*;*;*;4.524096386;1.108433735;409;166;*;*;0
21;*;*;*;4.478142077;1.00273224;929;366;*;*;0
22;*;*;*;5.09623431;1.131799163;1015;478;*;*;0
23;*;*;*;5.193846154;1.036923077;853;325;*;*;0
24;*;*;*;5.27014218;1.035545024;1006;422;*;*;0
25;*;*;*;4.495798319;1.033613445;317;119;*;*;0
26;*;*;*;4.728033473;1.020920502;607;239;*;*;0
27;*;*;*;4.780856423;1.060453401;1102;397;*;*;0
28;*;*;*;4.401691332;1.040169133;1131;473;*;*;0
29;*;*;*;4.703225806;1.032258065;395;155;*;*;0
30;*;*;*;5.068783069;1.182539683;863;378;*;*;0
31;*;*;*;4.882086168;1.090702948;1168;441;*;*;0
32;*;*;*;5.737313433;1.220895522;1026;335;*;*;0
33;*;*;*;5.030395137;1.112462006;754;329;*;*;0
34;*;*;*;4.972014925;1.070895522;1258;536;*;*;0
35;*;*;*;4.602272727;1.068181818;570;264;*;*;0
36;*;*;*;4.807486631;1.155080214;987;374;*;*;0
37;*;*;*;3.749379653;0.967741935;901;403;*;*;0
38;*;*;*;4.757281553;1.067961165;689;309;*;*;0
39;*;*;*;3.494252874;1.027298851;1377;696;*;*;0
40;*;*;*;4.215189873;1.060759494;946;395;*;*;0
41;*;*;*;3.759036145;1.248995984;517;249;*;*;0
42;*;*;*;3.772486772;1.068783069;462;189;*;*;0
43;*;*;*;4.797979798;1.02020202;467;198;*;*;0
44;*;*;*;4.941780822;1.065068493;660;292;*;*;0
45;*;*;*;4.335078534;1.09947644;718;382;*;*;0
46;*;*;*;3.700657895;1.059210526;616;304;*;*;0
47;*;*;*;3.980237154;1.233201581;558;253;*;*;0
48;*;*;*;3.9;1.21875;423;160;*;*;0
49;*;*;*;2.6875;1.065340909;700;352;*;*;0
50;*;*;*;2.0456621;1.034246575;735;438;*;*;0
51;*;*;*;4.58968059;1.12039312;1061;407;*;*;0
52;*;*;*;4.473611111;1.184722222;1959;720;*;*;0
53;*;*;*;4075;1.14;1162;400;*;*;0
54;*;*;*;5.021459227;1.008583691;701;233;*;*;0
55;*;*;*;4.295454545;1.104545455;576;220;*;*;0
56;*;*;*;4.77992278;1.111969112;622;259;*;*;0
57;*;*;*;6.102459016;1.37295082;728;244;*;*;0
58;*;*;*;4.5625;1.121710526;1074;304;*;*;0
59;*;*;*;2.771929825;0.754385965;94;57;*;*;0
60;*;*;*;5.994652406;1.128342246;554;187;*;*;0
61;*;*;*;5.869565217;1.260869565;86;23;*;*;0
62;*;*;*;6.229508197;1.557377049;377;122;*;*;0
63;*;*;*;7.698113208;1.490566038;521;159;*;*;0
64;*;*;*;6.22556391;1.368421053;392;133;*;*;0
65;*;*;*;5.401069519;1.117647059;604;187;*;*;0
66;*;*;*;4.38253012;1.06626506;788;332;*;*;0
67;*;*;*;6.986394558;1.659863946;492;147;*;*;0
68;*;*;*;6.975609756;1.329268293;274;82;*;*;0
69;*;*;*;4.584288052;1.05400982;1823;611;*;*;0
70;*;*;*;6.047244094;1.196850394;392;127;*;*;0
71;*;*;*;3.375451264;1.072202166;582;277;*;*;0
72;*;*;*;5.552631579;1.342105263;560;152;*;*;0
73;*;*;*;1.714285714;0.571428571;18;7;*;*;0
74;*;*;*;6.278195489;1.210526316;290;133;*;*;0
75;*;*;*;2.817767654;1.0523918;762;439;*;*;0
76;*;*;*;5.724950884;1.104125737;1236;509;*;*;0
77;*;*;*;5.830917874;1.173913043;721;207;*;*;0
78;*;*;*;5.369230769;1.150769231;1054;325;*;*;0
79;*;*;*;4.412903226;1.135483871;344;155;*;*;0
80;*;*;*;3.197231834;1;609;289;*;*;0
81;*;*;*;3.75;1;183;56;*;*;0
82;*;*;*;3.908045977;1.114942529;200;87;*;*;0
83;*;*;*;2.490322581;1.058064516;346;155;*;*;0
84;*;*;*;5.609467456;1.088757396;467;169;*;*;0
85;*;*;*;6.72173913;1.243478261;377;115;*;*;0
86;*;*;*;2.315789474;1.186842105;582;380;*;*;0
87;*;*;*;2.651515152;1.054545455;546;330;*;*;0
88;*;*;*;2.692307692;1.076923077;125;39;*;*;0
89;*;*;*;2.929411765;0.917647059;396;85;*;*;0
90;*;*;*;2.745856354;1.082872928;800;362;*;*;0
91;*;*;*;2.443181818;0.988636364;904;88;*;*;0
92;*;*;*;2.823529412;0.911764706;191;34;*;*;0
93;*;*;*;3.493377483;1.149006623;718;302;*;*;0
94;*;*;*;3.672376874;1.334047109;1327;467;*;*;0
95;*;*;*;2.294016358;1.066293586;3469;2323;*;*;0
96;*;*;*;3.894915254;1.127966102;2048;1180;*;*;0
97;*;*;*;3.681318681;1.175824176;202;91;*;*;0
98;*;*;*;2.9456;1016;2024;1250;*;*;0
99;*;*;*;3.707142857;1.107142857;1838;980;*;*;0
100;*;*;*;3.7248;1.1312;2304;1250;*;*;0
101;*;*;*;3.878423514;1.070808283;2563;1497;*;*;0
